1|000000652|5408|1445.12|IMPUESTO SOBRE LA RENTA|002|012023|226000030
1|000000652|5542|141.95|CAPITALIZACION INDIVIDUAL 1.4%|001|012023|226000030
1|000000652|5540|468.93|SERVICIOS DE SALUD 4.625%|001|012023|226000030
1|000000652|5541|618.48|SISTEMA SOLIDARIO DE REPARTO 6.1%|001|012023|226000030
1|000000652|202|10139.05|SUELDOS EVENTUALES|001|012023|226000030
2|000000653|5542|141.95|CAPITALIZACION INDIVIDUAL 1.4%|001|012023|226000030
2|000000653|5540|468.93|SERVICIOS DE SALUD 4.625%|001|012023|226000030
2|000000653|5408|1445.12|IMPUESTO SOBRE LA RENTA|002|012023|226000030
2|000000653|5541|618.48|SISTEMA SOLIDARIO DE REPARTO 6.1%|001|012023|226000030
2|000000653|202|10139.05|SUELDOS EVENTUALES|001|012023|226000030
3|000000654|5408|688.80|IMPUESTO SOBRE LA RENTA|002|012023|226000050
3|000000654|5542|92.13|CAPITALIZACION INDIVIDUAL 1.4%|001|012023|226000050
3|000000654|5540|304.35|SERVICIOS DE SALUD 4.625%|001|012023|226000050
3|000000654|5541|401.41|SISTEMA SOLIDARIO DE REPARTO 6.1%|001|012023|226000050
3|000000654|202|6580.45|SUELDOS EVENTUALES|001|012023|226000050
4|000000656|5540|468.93|SERVICIOS DE SALUD 4.625%|001|012023|226000030
4|000000656|5542|141.95|CAPITALIZACION INDIVIDUAL 1.4%|001|012023|226000030
4|000000656|5541|618.48|SISTEMA SOLIDARIO DE REPARTO 6.1%|001|012023|226000030
4|000000656|202|10139.05|SUELDOS EVENTUALES|001|012023|226000030
4|000000656|5408|1445.12|IMPUESTO SOBRE LA RENTA|002|012023|226000030
5|000000657|5542|95.68|CAPITALIZACION INDIVIDUAL 1.4%|001|012023|226000050
5|000000657|5540|316.09|SERVICIOS DE SALUD 4.625%|001|012023|226000050
5|000000657|5408|739.22|IMPUESTO SOBRE LA RENTA|002|012023|226000050
5|000000657|5541|416.89|SISTEMA SOLIDARIO DE REPARTO 6.1%|001|012023|226000050
5|000000657|202|6834.30|SUELDOS EVENTUALES|001|012023|226000050
6|000000659|5542|141.95|CAPITALIZACION INDIVIDUAL 1.4%|001|012023|226000030
